title,url,author_name,word_count
Penyelam TLDM maut ketika operasi salvaj KD Pendekar,https://www.hmetro.com.my/utama/2024/08/1128058/penyelam-tldm-maut-ketika-operasi-salvaj-kd-pendekar,BERNAMA,105
'Boleh tak pura-pura jadi mak saya? Saya rindu arwah',https://www.hmetro.com.my/utama/2024/08/1128055/boleh-tak-pura-pura-jadi-mak-saya-saya-rindu-arwah,Redzuan Muharam,322
Malaysia anjur Sukan Sea 2027 di 4 negeri,https://www.hmetro.com.my/utama/2024/08/1128031/malaysia-anjur-sukan-sea-2027-di-4-negeri,Ferzalfie Fauzi,222
Mayat bayi ditemukan ditanam bawah lantai simen,https://www.hmetro.com.my/utama/2024/08/1127999/mayat-bayi-ditemukan-ditanam-bawah-lantai-simen,Muhammad Zulsyamini Sufian Suri,119
Syarikat penerbangan perlu kembalikan bayaran penuh jika lewat lebih 5 jam,https://www.hmetro.com.my/utama/2024/08/1127971/syarikat-penerbangan-perlu-kembalikan-bayaran-penuh-jika-lewat-lebih-5-jam,BERNAMA,380
Syarikat penerbangan perlu kembalikan bayaran penuh jika lewat lebih 5 jam,https://www.hmetro.com.my/utama/2024/08/1127971/syarikat-penerbangan-perlu-kembalikan-bayaran-penuh-jika-lewat-lebih-5-jam,BERNAMA,380
"Nik Nazmi, Fahmi tarik diri bertanding Presiden KLFA",https://www.hmetro.com.my/utama/2024/08/1127944/nik-nazmi-fahmi-tarik-diri-bertanding-presiden-klfa,Firdaus Hashim,307
"'Deepfake' tiru suara kenalan mula jerat mangsa, 454 kes disiasat",https://www.hmetro.com.my/utama/2024/08/1127918/deepfake-tiru-suara-kenalan-mula-jerat-mangsa-454-kes-disiasat,Hafidzul Hilmi Mohd Noor,291
Ceroboh privasi jiran tetangga,https://www.hmetro.com.my/utama/2024/08/1127884/ceroboh-privasi-jiran-tetangga,Izzatie Rizan,612
Tanah mendap berdekatan lokasi tanah jerlus,https://www.hmetro.com.my/utama/2024/08/1127782/tanah-mendap-berdekatan-lokasi-tanah-jerlus,BERNAMA,139
'Duta kecil' Malaysia atas padang bola,https://www.hmetro.com.my/utama/2024/08/1127761/duta-kecil-malaysia-atas-padang-bola,Firdaus Hashim,499
Buktikan persepsi salah,https://www.hmetro.com.my/utama/2024/08/1127749/buktikan-persepsi-salah,Hafiz Ithnin,834
